,logreg_coef,rf_impurity,rf_permutation,shap_mean_abs,shap_mean_signed,rank_logreg,rank_impurity,rank_permutation,rank_shap,mean_rank
alcohol,1.3091779341567022,0.2755486820656102,0.20424106571845177,0.16245985482945888,-0.07220485167246435,1,1,1,1,1.0
volatile acidity,-0.6347618460303782,0.1025702160597497,0.027964237292471317,0.045555591028696836,-0.02714536110367246,2,3,2,3,2.5
chlorides,-0.37128528778036113,0.1210432250193508,0.025623545061523,0.062319762479398584,-0.029117026786609216,3,2,3,2,2.5
free sulfur dioxide,0.25077515691109714,0.08494931242448331,0.019651582205622666,0.030572686530578545,-0.02512489777726446,5,5,4,7,5.25
pH,0.2517704656253695,0.08246922689951887,0.01894233966897744,0.031472640559519094,-0.024013305067196636,4,8,5,6,5.75
sulphates,0.24602444562067144,0.08273819029994513,0.01673275178429807,0.03535105249235619,-0.022712777094183373,6,7,6,4,5.75
residual sugar,0.17244643980306182,0.09021781292556806,0.014337699214652899,0.03239894503207463,-0.02763039340530261,9,4,7,5,6.25
citric acid,0.00016482449895955831,0.08384144569541804,0.013937990841881687,0.02883123656043071,-0.02239489100835944,10,6,8,8,8.0
fixed acidity,0.20238195834275807,0.07238721515894847,0.009044920825765423,0.023323454498270085,-0.022249132830402942,8,9,9,9,8.75
type,-0.2327693955072083,0.004234673451407344,0.0012349389885139117,0.001904353884010618,-0.0008382050116887234,7,10,10,10,9.25
